,polarity,subjectivity,filtered_polarity,filtered_subjectivity,Open,High,Low,Close,Volume,Market Cap
2019-11-10,0.07362914862914861,0.29238816738816736,0,1,8585.26280768,8721.78072149,8316.18140086,8321.75671178,19604381101.2277,149685618275.045
2019-11-11,0.006969696969696973,0.2994128787878788,0,1,9056.91770059,9081.27928096,8700.60878725,8757.78854226,20265510765.3146,158009772437.163
2019-11-12,-0.004101010101010105,0.18707070707070705,0,0,7277.19769871,7324.15640741,7195.52739606,7217.427115199999,16350490689.2812,130609895527.986
2019-11-13,0.08363636363636365,0.2025378787878788,0,1,8812.03362864,8836.84179047,8761.6511216,8808.2625823,17545755404.6043,158949942842.02402
2019-11-14,0.06856060606060606,0.26403882575757576,0,1,8811.93633174,8826.94365923,8692.55188007,8708.09509517,19084739974.5708,157160974643.863
2019-11-15,-0.009668831168831169,0.22988961038961037,0,1,8705.70810061,8730.873426600001,8484.84418485,8491.99201234,21796856471.0897,153277483625.53302
2019-11-16,-0.024086452762923347,0.262277183600713,0,1,8491.16631667,8591.99724097,8473.97406353,8550.76055694,16495389808.4135,154354054193.602
2019-11-17,-0.018831168831168834,0.17889610389610391,0,0,8549.47090893,8727.78922661,8500.96788688,8577.9757816,18668638896.6252,154861842424.932
2019-11-18,0.026101928374655643,0.19432966023875115,0,0,8573.98009164,8653.28015751,8273.57288734,8309.28598342,21579470673.406002,150025712267.12698
2019-11-19,-0.0034286315536315496,0.21956770081770083,0,1,8305.13429095,8408.51612757,8099.96336899,8206.14591807,21083613815.9481,148178376842.59
2019-11-20,0.09982957655371447,0.26852515300791163,0,1,8203.61317991,8237.23987375,8010.51190064,8027.26824331,20764300436.8365,144962727397.799
2019-11-21,-0.025925925925925915,0.29814814814814816,0,1,8023.64468729,8110.09813105,7597.38160764,7642.74994484,22514243371.4685,138031885378.78302
2019-11-22,0.007857420357420356,0.27017288267288264,0,1,7643.56942455,7697.38271398,6936.70659892,7296.57756843,34242315784.8124,131791783672.11
2019-11-23,0.017996137849079014,0.2851232917409388,0,1,7296.16442479,7442.25893278,7151.41781411,7397.7968154,21008924417.7026,133636205957.351
2019-11-24,-0.02857142857142857,0.10714285714285714,0,0,7398.63390574,7408.57736944,7029.28912726,7047.91688176,30433517289.4688,127327398565.035
2019-11-25,0.0052020202020202,0.23933080808080803,0,1,7039.97703454,7319.85680403,6617.1670508,7146.13390214,42685231261.741,129112952930.262
2019-11-26,0.036140422077922084,0.3740643037518037,0,1,7145.1590862,7320.23035135,7098.57229752,7218.37133433,21129505542.4938,130429018719.748
2019-11-27,-0.01638287638287638,0.2288648388648388,0,1,7220.88064968,7619.6935852,6974.17436987,7531.663644600001,23991412764.1441,136102712894.02802
2019-11-28,-0.09333333333333334,0.27447368421052637,0,1,7536.82010358,7730.07266616,7454.12179377,7463.106128300001,19050116751.2687,134879411013.19301
2019-11-29,0.04394550342130987,0.30888318670576737,0,1,7466.72728957,7781.1796785,7460.75621581,7761.24360172,19709695455.776,140280108520.941
2019-11-30,-0.03232323232323232,0.22929292929292927,0,1,7764.05726187,7836.10181158,7515.84946647,7569.63012202,17158194786.41,136829391048.646
2019-12-01,0.10833333333333334,0.10833333333333334,0,0,3686.97309735,3698.9783488000007,3653.81085703,3661.30098975,4778170882.56059,63994140881.8701
2019-12-02,-0.056060606060606054,0.21854066985645934,0,1,3642.75185939,3668.58683348,3618.55692543,3653.52864497,6480384531.73272,64063755249.7315
2019-12-03,0.015289256198347105,0.19338842975206608,0,0,3903.75829416,3926.88908293,3863.55909997,3909.15620907,9809887079.436892,68743000581.0221
2019-12-04,0.009343434343434338,0.27810245310245313,0,1,5061.20088735,5103.27440858,4955.85259984,5089.53891201,13675206312.4982,89792633045.0218
2019-12-05,0.05757575757575757,0.25636363636363635,0,1,7203.50752166,7503.87183327,6815.77092608,6972.37152291,27773333679.6781,123389710222.362
2019-12-06,0.1388888888888889,0.17222222222222222,0,0,7925.43410401,8196.64825685,7862.3597896,8145.85747373,19034432883.3832,144634684710.85
2019-12-07,0.008015935214211074,0.1655799373040752,0,0,11354.299624,11905.487006399999,11179.1448437,11815.986686700002,23534692796.6076,210494417831.881
2019-12-08,0.2108643250688705,0.25748966942148754,1,1,11528.1893667,11528.1893667,11320.9515001,11382.615956200001,13647198229.0109,203441494985.163
2019-12-09,0.033906926406926406,0.11540404040404043,0,0,10176.819361599999,10442.253874200002,10099.2419536,10410.1268031,15323563925.0222,186678943058.602
